Time stamp: 09/13/2011 19:12:07
Program name: C:\CCStudio_v3.3\MyProjects\rnlms\Release\rnlms.out


Tab name: Profiler
Address Range, Symbol Name, SLR, Symbol Type, Access Count, Cycles: Incl. Total, Cycles: Excl. Total, Branches: Incl. Total, Branches: Excl. Total, 
0:0x53b8-0x53d4, _pconv_g <TI Library>, 120-120:string.h, loop, 0, 0, 0, 0, 0, 
0:0x5470-0x5494, _pconv_g <TI Library>, 724-724:_printfi.c, loop, 0, 0, 0, 0, 0, 
0:0x5514-0x552c, _pconv_g <TI Library>, 725-725:_printfi.c, loop, 0, 0, 0, 0, 0, 
0:0x57d8-0x5804, _pproc_diouxp <TI Library>, 927-927:_printfi.c, loop, 0, 0, 0, 0, 0, 
0:0x7d7c-0x7ebc, _pproc_fflags <TI Library>, 223-250:_printfi.c, loop, 0, 0, 0, 0, 0, 
0:0x3770-0x37ac, _pproc_fwp <TI Library>, 299-299:_printfi.c, loop, 0, 0, 0, 0, 0, 
0:0x3918-0x3960, _pproc_fwp <TI Library>, 332-332:_printfi.c, loop, 0, 0, 0, 0, 0, 
0:0x4988-0x4998, _pproc_str <TI Library>, 109-109:string.h, loop, 0, 0, 0, 0, 0, 
0:0x49c0-0x49d0, _pproc_str <TI Library>, 109-109:string.h, loop, 0, 0, 0, 0, 0, 
0:0x4ac0-0x4aec, _pproc_str <TI Library>, 134-134:string.h, loop, 0, 0, 0, 0, 0, 
0:0x4b50-0x4b5c, _pproc_str <TI Library>, 135-135:string.h, loop, 0, 0, 0, 0, 0, 
0:0x2540-0x28f0, _printfi <TI Library>, 103-199:_printfi.c, loop, 0, 0, 0, 0, 0, 
0:0x2580-0x25e0, _printfi <TI Library>, 117-118:_printfi.c, loop, 0, 0, 0, 0, 0, 
0:0x24fc-0x250c, _printfi <TI Library>, 109-109:string.h, loop, 0, 0, 0, 0, 0, 
0:0x9bd0-0x9bf0, _search_fp <TI Library>, 98-98:fopen.c, loop, 0, 0, 0, 0, 0, 
0:0xad24-0xad2c, abort <TI Library>, 78-79:exit.c, loop, 0, 0, 0, 0, 0, 
0:0x8848-0x8864, atoi <TI Library>, 14-14:atoi.c, loop, 0, 0, 0, 0, 0, 
0:0x88f4-0x8920, atoi <TI Library>, 19-24:atoi.c, loop, 0, 0, 0, 0, 0, 
0:0xab74-0xab7c, c_int00 <TI Library>, 61-62:boot.c, loop, 0, 0, 0, 0, 0, 
0:0x264-0x2c8, calc_norma, 77-80:rnlms.c, loop, 0, 0, 0, 0, 0, 
0:0x73a4-0x73f4, convert_from_NUM_to_int16, 21-21:utils.c, loop, 0, 0, 0, 0, 0, 
0:0x7424-0x7474, convert_from_int16_to_NUM, 22-22:utils.c, loop, 0, 0, 0, 0, 0, 
0:0x1ba4-0x1c1c, convolution_CB_and_CB, 44-47:CircularBuffer.c, loop, 0, 0, 0, 0, 0, 
0:0x1c7c-0x1cf8, convolution_CB_and_vector, 65-68:CircularBuffer.c, loop, 0, 0, 0, 0, 0, 
0:0x1d24-0x1db0, convolution_CB_and_vector, 70-73:CircularBuffer.c, loop, 0, 0, 0, 0, 0, 
0:0x2a4c-0x2aa8, ecvt <TI Library>, 36-36:ecvt.c, loop, 0, 0, 0, 0, 0, 
0:0x2b20-0x2b80, ecvt <TI Library>, 37-37:ecvt.c, loop, 0, 0, 0, 0, 0, 
0:0x2c48-0x2c88, ecvt <TI Library>, 50-54:ecvt.c, loop, 0, 0, 0, 0, 0, 
0:0x2d04-0x2d28, ecvt <TI Library>, 64-64:ecvt.c, loop, 0, 0, 0, 0, 0, 
0:0x8724-0x8748, exit <TI Library>, 31-31:exit.c, loop, 0, 0, 0, 0, 0, 
0:0x87e0-0x87e8, exit <TI Library>, 45-46:exit.c, loop, 0, 0, 0, 0, 0, 
0:0x2144-0x21a8, fcvt <TI Library>, 37-37:fcvt.c, loop, 0, 0, 0, 0, 0, 
0:0x2220-0x2280, fcvt <TI Library>, 38-38:fcvt.c, loop, 0, 0, 0, 0, 0, 
0:0x2310-0x2350, fcvt <TI Library>, 51-55:fcvt.c, loop, 0, 0, 0, 0, 0, 
0:0x23bc-0x23dc, fcvt <TI Library>, 65-65:fcvt.c, loop, 0, 0, 0, 0, 0, 
0:0x8610-0x8678, fflush <TI Library>, 49-50:fflush.c, loop, 0, 0, 0, 0, 0, 
0:0xa2d0-0xa340, finddevice <TI Library>, 106-107:lowlev.c, loop, 0, 0, 0, 0, 0, 
0:0xa2f0-0xa30c, finddevice <TI Library>, 210-216:string.h, loop, 0, 0, 0, 0, 0, 
0:0x4140-0x4188, fputs <TI Library>, 71-84:fputs.c, loop, 0, 0, 0, 0, 0, 
0:0x3f00-0x4110, fputs <TI Library>, 92-125:fputs.c, loop, 0, 0, 0, 0, 0, 
0:0x3f88-0x3fa4, fputs <TI Library>, 264-264:string.h, loop, 0, 0, 0, 0, 0, 
0:0x3ff4-0x4010, fputs <TI Library>, 264-264:string.h, loop, 0, 0, 0, 0, 0, 
0:0x3e94-0x3ea4, fputs <TI Library>, 109-109:string.h, loop, 0, 0, 0, 0, 0, 
0:0x47b0-0x4890, fread <TI Library>, 51-70:fread.c, loop, 0, 0, 0, 0, 0, 
0:0x46a0-0x474c, fread <TI Library>, 75-99:fread.c, loop, 0, 0, 0, 0, 0, 
0:0x4248-0x4280, free <TI Library>, 370-375:memory.c, loop, 0, 0, 0, 0, 0, 
0:0x1454-0x14e0, fwrite <TI Library>, 54-68:fwrite.c, loop, 0, 0, 0, 0, 0, 
0:0x10c0-0x13a0, fwrite <TI Library>, 77-152:fwrite.c, loop, 0, 0, 0, 0, 0, 
0:0x1300-0x1320, fwrite <TI Library>, 264-264:string.h, loop, 0, 0, 0, 0, 0, 
0:0x1044-0x1060, fwrite <TI Library>, 264-264:string.h, loop, 0, 0, 0, 0, 0, 
0:0x71e0-0x720c, getdevice <TI Library>, 134-134:string.h, loop, 0, 0, 0, 0, 0, 
0:0x7268-0x7274, getdevice <TI Library>, 135-135:string.h, loop, 0, 0, 0, 0, 0, 
0:0x7140-0x7168, getdevice <TI Library>, 179-183:string.h, loop, 0, 0, 0, 0, 0, 
0:0x30c-0x350, insert_right, 89-92:rnlms.c, loop, 0, 0, 0, 0, 0, 
0:0x8eb4-0x8f10, ltoa <TI Library>, 17-17:ltoa.c, loop, 0, 0, 0, 0, 0, 
0:0x6a10-0x6a34, malloc <TI Library>, 214-215:memory.c, loop, 0, 0, 0, 0, 0, 
0:0xa680-0xa6a0, memccpy <TI Library>, 16-18:memccpy.c, loop, 0, 0, 0, 0, 0, 
0:0xa080-0xa0ac, mremove <TI Library>, 159-163:memory.c, loop, 0, 0, 0, 0, 0, 
0:0x6530-0x6560, open <TI Library>, 226-226:lowlev.c, loop, 0, 0, 0, 0, 0, 
0:0xa578-0xa58c, readmsg <TI Library>, 130-130:trgmsg.c, loop, 0, 0, 0, 0, 0, 
0:0x548-0x5ec, rlms_func, 121-126:rnlms.c, loop, 0, 0, 0, 0, 0, 
0:0x678-0x71c, rlms_func, 130-135:rnlms.c, loop, 0, 0, 0, 0, 0, 
0:0x178-0x1cc, rlms_init, 45-49:rnlms.c, loop, 0, 0, 0, 0, 0, 
0:0xaf8-0xd8c, testAlgo, 63-127:tester.c, loop, 0, 0, 0, 0, 0, 
0:0x850-0x8c8, testBlock, 9-12:tester.c, loop, 0, 0, 0, 0, 0, 
0:0xa4b0-0xa4c8, writemsg <TI Library>, 84-84:trgmsg.c, loop, 0, 0, 0, 0, 0, 


